Name,Fertility,Photoperiod,Temperature,Rainfall,pH,Light_Hours,Light_Intensity,Rh,Nitrogen,Phosphorus,Potassium,Yield,Category_pH,Soil_Type,Season,N_Ratio,P_Ratio,K_Ratio
Strawberry,Moderate,Day Neutral,20.8879227807292,747.86076492044,6.57154752468899,13.0914833109563,533.762875715672,91.1971962422373,170.800381404677,118.670057980644,243.331210634148,20.3695546169975,low_acidic,Loam,Summer,10.0,10.0,10.0
Strawberry,Moderate,Day Neutral,18.0627208763042,711.104328780634,6.25180620369805,13.063015951482,505.789101494269,91.9396233984674,179.290363887292,121.020244350895,246.910377557939,20.4027509271319,low_acidic,Loam,Spring,10.0,10.0,10.0
Strawberry,Moderate,Short Day Period,16.7767822552963,774.038246785553,6.3469156727565,12.9459268199875,512.985616582096,91.3872855759477,181.44073227001,116.936805538119,242.699600700321,19.158846788402,low_acidic,Loam,Summer,10.0,10.0,10.0
Strawberry,Moderate,Short Day Period,14.2809997525734,665.633505666814,6.25959848479199,13.3189220696776,484.860066810283,91.2545975077002,176.165281844706,122.233153458625,237.096892442197,20.265745094281,low_acidic,Loam,Summer,10.0,10.0,10.0
Strawberry,Moderate,Day Neutral,21.4444904512977,806.531454859021,6.3843678378872,13.3129150481162,512.747307023423,92.3548292065441,182.935333974271,126.088233928844,243.880363647392,20.3973359855375,low_acidic,Loam,Spring,10.0,10.0,10.0
Strawberry,Moderate,Short Day Period,18.6553194138324,717.32818775712,6.48189088926681,12.6074598117412,495.907390288642,93.0091234106059,182.23723960512,122.624012057266,239.459955396453,19.7798207666139,low_acidic,Loam,Spring,10.0,10.0,10.0
Strawberry,Moderate,Short Day Period,16.7903105628949,779.629930122021,6.41339295418566,13.5000559205891,464.846855295149,92.5298003958756,163.246491522207,123.320219585576,241.460452925826,19.7265783930129,low_acidic,Loam,Summer,10.0,10.0,10.0
Strawberry,Moderate,Short Day Period,20.9193407392187,713.043255030732,6.44894664617583,12.8449174302726,500.993641041452,92.6718375409814,176.460729880229,122.176909417728,238.82269859328,20.5763663620844,low_acidic,Loam,Summer,10.0,10.0,10.0
Strawberry,Moderate,Day Neutral,21.3906250268173,720.088533515054,6.75067151530438,12.9794412518176,536.221181953911,91.9311891037138,159.26705806703,119.950079613606,237.983896919521,20.0244601949672,low_acidic,Loam,Summer,10.0,10.0,10.0
Strawberry,Moderate,Day Neutral,19.1463280793174,823.388499355381,6.32074179208597,12.505417275211,499.124731983203,91.0351969096222,179.725605185984,116.224988202827,234.52435815991,19.1946777786038,low_acidic,Loam,Summer,10.0,10.0,10.0
Strawberry,Moderate,Day Neutral,15.9530574997187,690.867207274541,6.52750095360125,12.8955020439114,501.774812882136,92.4693137880083,174.232698280489,120.730176579244,234.378206885957,20.1966588261619,low_acidic,Loam,Summer,10.0,10.0,10.0
Strawberry,Moderate,Day Neutral,16.1078311010521,759.49119098682,6.72635037019574,13.1439395626414,471.860943491561,91.9359557282885,179.816666766312,121.10446269916,241.650714899743,20.2570399031398,low_acidic,Loam,Spring,10.0,10.0,10.0
Strawberry,Moderate,Day Neutral,19.1082326384547,739.059683734349,6.4529462797128,13.1995888925798,488.869834025881,93.6855718929306,175.712604954465,123.059296482845,240.274833712914,19.3521174796059,low_acidic,Loam,Spring,10.0,10.0,10.0
Strawberry,Moderate,Day Neutral,17.7053775640444,760.63618084167,6.07877540204834,12.6587921315315,572.949896813131,94.1395374328088,190.682422231384,121.360803631221,239.667739907908,19.8725558694331,low_acidic,Loam,Summer,10.0,10.0,10.0
Strawberry,Moderate,Short Day Period,16.8548260481614,719.983301813234,6.27873411559815,13.2288567204142,534.364345640329,94.0196590689625,169.488792479431,121.886249507916,240.242301882204,20.8661339951484,low_acidic,Loam,Summer,10.0,10.0,10.0
Strawberry,Moderate,Short Day Period,15.2202455140326,801.518966728798,6.15613961600387,12.5977082266154,472.376936474704,92.5210916526176,174.414069644727,119.11634098202,244.381538273197,18.9665300802009,low_acidic,Loam,Summer,10.0,10.0,10.0
Strawberry,Moderate,Day Neutral,15.3796856484813,746.034165553744,6.46420537106747,12.8923237960424,533.511425918953,92.3795705739755,175.38848759049,121.282964669722,243.473428329475,19.9774681537036,low_acidic,Loam,Summer,10.0,10.0,10.0
Strawberry,Moderate,Short Day Period,19.2684617612949,644.456848997171,6.24176309881588,12.6244053267467,549.563657318842,92.4075298869958,174.097228806595,124.086188581642,238.757823069905,19.3094372866742,low_acidic,Loam,Summer,10.0,10.0,10.0
Strawberry,Moderate,Short Day Period,19.4242869431674,756.816457138114,6.39102375495812,12.9917559884818,494.773674291299,93.3767826456107,170.698966436092,119.9575087579,239.201646632415,20.5599062671002,low_acidic,Loam,Summer,10.0,10.0,10.0
Strawberry,Moderate,Day Neutral,15.9860967825448,711.171343036162,6.5960048291143,12.7230091714765,456.116344268954,90.6156139028889,164.517720288234,122.185863648199,235.305213528784,19.6731587945726,low_acidic,Loam,Spring,10.0,10.0,10.0
Strawberry,Moderate,Short Day Period,14.9473410182067,734.853668863236,6.3723025338491,11.9530915745843,531.23682244596,91.4825835100143,182.007376875529,117.174427489652,244.126829374254,19.7040788756829,low_acidic,Loam,Spring,10.0,10.0,10.0
Strawberry,Moderate,Day Neutral,19.1161378428461,780.501534216978,6.33364440040014,13.4470956051479,505.890175549851,92.717125576079,167.632632567706,121.358312099742,241.240148275689,20.3486882780357,low_acidic,Loam,Spring,10.0,10.0,10.0
Strawberry,Moderate,Short Day Period,19.1779332584196,790.404860908172,6.47318596698135,12.8084345723048,565.686669215263,93.0507316881934,172.006867963925,121.678574149458,235.158891325444,20.5186698500768,low_acidic,Loam,Spring,10.0,10.0,10.0
Strawberry,Moderate,Short Day Period,19.6565151053448,848.611930495609,6.55993971925216,13.1305254565465,476.131881567274,92.2721428774816,171.898584906231,118.385552511895,238.957117257274,19.9772103313274,low_acidic,Loam,Spring,10.0,10.0,10.0
Strawberry,Moderate,Short Day Period,14.8151034616418,753.523516203193,6.35491918694485,13.22675241768,458.243343242215,91.9511437709058,168.556854381654,121.781002725946,234.67501210914,19.7034024157852,low_acidic,Loam,Spring,10.0,10.0,10.0
Strawberry,Moderate,Day Neutral,20.5094402807616,743.547596792925,6.31691026632128,12.8398418644851,517.159604219937,93.4170037956033,185.840452028974,113.835984371269,241.098392426053,20.4202567645752,low_acidic,Loam,Summer,10.0,10.0,10.0
Strawberry,Moderate,Day Neutral,17.4533286047898,723.260614953618,6.43039939236125,13.2878930952045,510.920676175932,91.5995680687507,168.833151485787,115.151664193101,242.990900797849,20.2510730397673,low_acidic,Loam,Summer,10.0,10.0,10.0
Strawberry,Moderate,Short Day Period,20.0428636582424,771.95453724771,6.28270997094205,13.8243538528015,516.319581762382,92.6586338272608,169.124803146421,124.029711669092,239.930342333045,19.2020195507902,low_acidic,Loam,Spring,10.0,10.0,10.0
Strawberry,Moderate,Day Neutral,17.2012296821483,701.371209383254,6.60773087289579,13.1054315692244,608.36827590609,92.706593754185,167.264396721686,122.213976889519,236.63160298871,20.4303102900117,low_acidic,Loam,Spring,10.0,10.0,10.0
Strawberry,Moderate,Day Neutral,19.2488931423197,712.223924392318,6.43388536510941,13.371762792685,483.781951613177,92.8430255766704,176.847636419868,120.193490664506,239.515537160216,20.0933581796643,low_acidic,Loam,Spring,10.0,10.0,10.0
Strawberry,Moderate,Day Neutral,14.9263002888837,740.744506731359,6.43806674318451,13.0239970245932,575.456806389418,93.1330285071008,178.463904747763,120.836107754465,231.014368022657,20.7449287500091,low_acidic,Loam,Spring,10.0,10.0,10.0
Strawberry,Moderate,Short Day Period,17.8610156724755,736.900172233337,6.55777438368927,12.9385003344101,501.517944867144,92.7038485219383,177.590557308691,123.239850895566,240.95280920277,21.0270079444061,low_acidic,Loam,Summer,10.0,10.0,10.0
Strawberry,Moderate,Short Day Period,16.5461516941627,749.125025607943,6.52268091484104,12.8486651912274,536.283802299503,91.7285435792265,164.70576936334,124.231108391125,241.07764380561,20.2280222428583,low_acidic,Loam,Summer,10.0,10.0,10.0
